Last Name,First Name,Position,Overall,Salary,Team,Age,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Green,Ladarius,TE,81,5000,PIT,26,2016,3622.710296,1377.289704,-0.531587019,-0.380182126
Harris,Ryan,LT,76,1995,PIT,31,2016,4607.289083,-2612.289083,0.668843475,0.566990487
Gradkowski,Bruce,QB,69,965,PIT,33,2016,1757.653606,-792.6536061,0.561112657,0.450972594
Johnson,Steven,ILB,68,840,PIT,28,2016,1082.541765,-242.5417647,0.182420317,0.224048413
Johnson,David,TE,83,760,PIT,29,2016,5163.823529,-4403.823529,1.926665745,0.852822236
Mathews,Ricardo,DT,69,760,PIT,29,2016,1147.051089,-387.0510889,0.385306536,0.33743143
Osweiler,Brock,QB,77,18000,HOU,26,2016,10963.42258,7036.577417,-1.045287138,-0.641823059
Allen,Jeff,G,78,7000,HOU,26,2016,4329.68655,2670.31345,-1.008205546,-0.616745212
Miller,Lamar,RB,88,6500,HOU,25,2016,6529.8569,-29.8569,0.008718736,0.004572367
Bergstrom,Tony,C,69,2875,HOU,30,2016,1098.775375,1776.224625,-2.193294022,-1.616549356
Weeden,Brandon,QB,72,2000,HOU,33,2016,2784.859964,-784.8599643,0.219702777,0.281831034
Allen,Antonio,CB,79,800,HOU,28,2016,4304.688265,-3504.688265,1.019504999,0.814156113
Robinson,Patrick,CB,78,4500,IND,29,2016,3926.5443,573.4557,-0.169192992,-0.146045901
Tolzien,Scott,QB,67,1750,IND,29,2016,1361.991813,388.0081875,-0.397170912,-0.284882907
Ayers,Akeem,OLB,77,2600,IND,27,2016,2505.909667,94.09033333,-0.049030449,-0.037547376
Coffman,Chase,TE,68,760,IND,30,2016,703.4615185,56.53848148,-0.189117728,-0.080371818
Todman,Jordan,RB,70,760,IND,26,2016,666.0919592,93.90804082,-0.590095964,-0.140983598
Turbin,Robert,RB,75,760,IND,27,2016,952.5397391,-192.5397391,0.323749749,0.202133025
Jackson,Malik,DT,86,14250,JAC,26,2016,7524.34225,6725.65775,-1.375852414,-0.893853247
Beachum,Kelvin,LT,82,9000,JAC,26,2016,7377.207769,1622.792231,-0.520540213,-0.219973773
Ivory,Chris,RB,82,6400,JAC,28,2016,2670.665767,3729.334233,-2.00739947,-1.396406199
Lewis,Marcedes,TE,76,4000,JAC,32,2016,1779.057882,2220.942118,-1.861161173,-1.248381033
Bernadeau,Mackenzy,C,74,1500,JAC,30,2016,1498.590375,1.409625,-0.001134152,-0.000940634
Linkenbach,Jeff,RT,72,810,JAC,29,2016,1714.01812,-904.01812,0.658566399,0.527426233
Werner,Bjoern,OLB,74,755,JAC,26,2016,2339.659946,-1584.659946,0.894137116,0.677303532
Omameh,Patrick,G,74,675,JAC,26,2016,2111.719059,-1436.719059,0.801516821,0.680355208
Jones,Ben,C,74,4375,TEN,27,2016,1498.590375,2876.409625,-2.314294083,-1.919410182
Matthews,Rishard,WR,79,5000,TEN,27,2016,3772.199588,1227.800412,-0.406364074,-0.325486598
Woods,Al,DT,74,3500,TEN,29,2016,2007.068811,1492.931189,-1.138491356,-0.743836575
Johnson,Andre,WR,76,1867.5,TEN,35,2016,2494.603356,-627.1033556,0.351317778,0.251383994
Spence,Sean,ILB,72,2500,TEN,26,2016,1562.703649,937.2963514,-0.694127444,-0.599791491
Bell,Byron,RT,70,2250,TEN,27,2016,1338.78216,911.21784,-0.871813692,-0.680631896
Cassel,Matt,QB,70,2000,TEN,34,2016,2055.088,-55.088,0.03247159,0.026805665
Blake,Antwon,CB,75,1500,TEN,26,2016,2830.618075,-1330.618075,0.534049812,0.470080399
Okung,Russell,LT,82,10600,DEN,29,2016,7377.207769,3222.792231,-1.033769402,-0.436858
Stephenson,Donald,LT,72,4666.667,DEN,28,2016,1804.913818,2861.753182,-1.511477955,-1.58553453
Crick,Jared,DE,70,2000,DEN,27,2016,1452.008732,547.9912683,-0.435918635,-0.377402185
Davis,Austin,QB,69,1250,DEN,27,2016,1757.653606,-507.6536061,0.359363613,0.288824604
Norwood,Jordan,WR,70,880,DEN,30,2016,1102.876639,-222.8766393,0.259182446,0.202086645
Graham,Garrett,TE,70,840,DEN,30,2016,900.5308065,-60.53080645,0.12188572,0.067216808
Winn,Billy,DE,67,760,DEN,27,2016,1213.222725,-453.2227255,0.341366243,0.373569268
Watson,Dekoda,OLB,63,760,DEN,28,2016,651.7889697,108.2110303,-0.45188532,-0.166021573
Ross,Brandian,CB,72,675,DEN,27,2016,1507.762689,-832.7626892,0.643249079,0.552316817
Schwartz,Mitchell,RT,86,6600,KC,27,2016,6900.5,-300.5,0.128623972,0.043547569
Johnson,Derrick,ILB,90,7000,KC,34,2016,7902.643,-902.643,0.244862744,0.114220394
Howard,Jaye,DT,83,5000,KC,28,2016,5813.184933,-813.1849333,0.234362258,0.1398863
Zombo,Frank,OLB,71,1200,KC,29,2016,1378.5835,-178.5835,0.161947308,0.129541301
Fleming,Jamell,S,66,840,KC,27,2016,681.7464565,158.2535435,-0.667787993,-0.232129616
Mulumba,Andy,OLB,67,620,KC,26,2016,809.012,-189.012,0.40626064,0.233633123
Osemele,Kelechi,G,89,11700,OAK,27,2016,5109.188222,6590.811778,-2.031991937,-1.28999197
Smith,Sean,CB,88,9500,OAK,29,2016,7980.382941,1519.617059,-0.349023491,-0.190419065
Irvin,Bruce,OLB,81,9250,OAK,29,2016,3395.985154,5854.014846,-2.21816497,-1.723804605
Penn,Donald,LT,87,5950,OAK,33,2016,8455.958375,-2505.958375,1.212157064,0.296354152
Smith,Aldon,OLB,85,5750,OAK,27,2016,5748.108222,1.891777778,-0.000632457,-0.000329113
Holmes,Andre,WR,73,2000,OAK,28,2016,1358.910839,641.0891607,-0.650869358,-0.471766905
Moore,Damontre,DE,69,675,OAK,24,2016,1404.757064,-729.7570638,0.510074106,0.51948987
Bates,Daren,ILB,61,675,OAK,26,2016,570.8992632,104.1007368,-1.466900501,-0.182345194
Benjamin,Travis,WR,78,6000,SD,26,2016,3503.999,2496.001,-0.969399367,-0.712329256
Hayward,Casey,CB,84,5100,SD,27,2016,4863.92087,236.0791304,-0.062064049,-0.048536795
Mebane,Brandon,DT,80,4500,SD,31,2016,4315.043435,184.9565652,-0.067140841,-0.042863199
Slauson,Matt,G,84,1500,SD,30,2016,3261.180077,-1761.180077,0.577936377,0.540043799
Hairston,Chris,LT,69,1450,SD,27,2016,1057.084364,392.9156364,-0.334796186,-0.37169752
Clemens,Kellen,QB,68,1065,SD,33,2016,1622.302686,-557.3026857,0.39494539,0.343525712
Cumberland,Jeff,TE,72,840,SD,29,2016,1279.490342,-439.4903421,0.443596133,0.343488597
Square,Damion,DE,62,725,SD,27,2016,628.8148485,96.18515152,-0.688503565,-0.152962596
Thornton,Cedric,DE,78,4250,DAL,28,2016,3638.159571,611.8404286,-0.248717409,-0.16817306
Hanna,James,TE,74,2750,DAL,27,2016,1542.877471,1207.122529,-1.071846486,-0.782383924
Morris,Alfred,RB,79,1750,DAL,28,2016,1880.035237,-130.0352368,0.081327809,0.069166383
Wilber,Kyle,OLB,73,1625,DAL,27,2016,2014.2062,-389.2062,0.229447278,0.193230564
Claiborne,Morris,CB,70,3000,DAL,26,2016,1091.941375,1908.058625,-2.29174894,-1.747400244
Sanchez,Mark,QB,72,2000,DAL,30,2016,2784.859964,-784.8599643,0.219702777,0.281831034
Looney,Joe,G,64,837.5,DAL,26,2016,722.3032258,115.1967742,-0.345933159,-0.159485338
Dunbar,Lance,RB,76,1250,DAL,26,2016,1116.007289,133.9927111,-0.166559184,-0.120064369
Crawford,Jack,DE,64,1100,DAL,28,2016,802.0429091,297.9570909,-0.305892342,-0.371497694
Durant,Justin,ILB,77,965,DAL,31,2016,2171.8645,-1206.8645,0.649570005,0.555681305
Vernon,Olivier,DE,91,17000,NYG,26,2016,10218.77077,6781.229231,-1.787750827,-0.663605181
Jenkins,Janoris,CB,85,12500,NYG,28,2016,5082.854571,7417.145429,-1.944360848,-1.459248012
Harrison,Damon,DT,84,9250,NYG,28,2016,5449.797636,3800.202364,-1.056867592,-0.697310729
Robinson,Keenan,ILB,75,2600,NYG,27,2016,1802.63015,797.36985,-0.496716544,-0.44233691
Daniels,B.J.,WR,57,645,NYG,27,2016,811.5,-166.5,0.333628313,0.205175601
Johnson,Josh,QB,65,885,NYG,30,2016,1069.878448,-184.8784483,0.223944053,0.172803227
Sheppard,Kelvin,ILB,68,840,NYG,28,2016,1082.541765,-242.5417647,0.182420317,0.224048413
Rainey,Bobby,RB,73,840,NYG,29,2016,853.4044528,-13.40445283,0.033077294,0.015707034
Stingily,Byron,RT,69,780,NYG,28,2016,1242.904913,-462.904913,0.424940223,0.372437914
Brooks,Brandon,G,80,8000,PHI,27,2016,3858.30815,4141.69185,-1.457921317,-1.073447659
Daniel,Chase,QB,71,7000,PHI,30,2016,2738.905774,4261.094226,-1.250439479,-1.555765177
Bradham,Nigel,OLB,76,3500,PHI,27,2016,2591.084235,908.9157647,-0.496309102,-0.35078588
Brooks,Ron,CB,68,1833.333,PHI,28,2016,811.6217164,1021.711284,-2.31271114,-1.258851584
Carroll,Nolan,CB,76,2360,PHI,29,2016,3044.835844,-684.8358444,0.25953773,0.224917164
Wisniewski,Stefen,C,79,1510,PHI,27,2016,3342.7219,-1832.7219,0.608128069,0.548272323
Randle,Rueben,WR,78,1025,PHI,25,2016,3503.999,-2478.999,0.962796113,0.707477085
Givens,Chris,WR,68,840,PHI,27,2016,879.7763729,-39.77637288,0.06344548,0.045211913
Norman,Josh,CB,94,15000,WAS,29,2016,11612.03029,3387.969714,-1.079916816,-0.291763768
Davis,Vernon,TE,80,2400,WAS,32,2016,3081.9328,-681.9328,0.268874989,0.2212679
Blackmon,Will,CB,72,1025,WAS,32,2016,1507.762689,-482.7626892,0.372899337,0.320184796
Galette,Junior,OLB,80,1600,WAS,28,2016,3265.966069,-1665.966069,0.659250285,0.510099013
LeRibeus,Josh,C,67,920,WAS,27,2016,961.7186818,-41.71868182,0.064004292,0.043379299
Toler,Greg,CB,72,840,WAS,31,2016,1507.762689,-667.7626892,0.515798486,0.44288315
Garvin,Terence,ILB,67,750,WAS,25,2016,948.5636216,-198.5636216,0.163046363,0.209330842
Trevathan,Danny,ILB,85,6125,CHI,26,2016,5046.318273,1078.681727,-0.342803579,-0.213756182
Sitton,Josh,G,91,7000,CHI,30,2016,5326.414286,1673.585714,-0.542834165,-0.314204946
Massie,Bobby,RT,75,6000,CHI,27,2016,2262.42055,3737.57945,-2.077384161,-1.65202683
Freeman,Jerrell,ILB,86,4000,CHI,30,2016,6495.9501,-2495.9501,0.683148826,0.384231723
Porter,Tracy,CB,72,4000,CHI,30,2016,1507.762689,2492.237311,-1.925073463,-1.652937381
Hicks,Akiem,DE,78,5000,CHI,27,2016,3638.159571,1361.840429,-0.55359765,-0.374321247
Miller,Zach,TE,78,2750,CHI,32,2016,2748.022688,1.9773125,-0.000951157,-0.00071954
McManis,Sherrick,CB,69,1425,CHI,29,2016,975.3856164,449.6143836,-0.611871787,-0.460960646
Unrein,Mitch,DT,68,1130,CHI,29,2016,991.39885,138.60115,-0.139230322,-0.139803622
Hoyer,Brian,QB,73,2000,CHI,31,2016,3076.40656,-1076.40656,0.28321135,0.349890867
Larsen,Ted,G,67,1650,CHI,29,2016,851.5898636,798.4101364,-1.525982787,-0.937552419
Acho,Sam,OLB,75,840,CHI,28,2016,2509.351114,-1669.351114,0.927131322,0.665252106
Thompson,Deonte,WR,64,840,CHI,27,2016,624.2414231,215.7585769,-0.923499532,-0.345633226
Paulsen,Logan,TE,70,760,CHI,29,2016,900.5308065,-140.5308065,0.282974894,0.156053303
Adams,Mike,LT,78,760,CHI,26,2016,5758.390385,-4998.390385,1.25064216,0.868018674
Boykin,Brandon,CB,71,760,CHI,26,2016,1264.045347,-504.0453467,0.513248485,0.398755747
Moeaki,Tony,TE,71,760,CHI,29,2016,1094.0112,-334.0112,0.442260057,0.305308757
Becton,Nick,LT,65,675,CHI,26,2016,570.07375,104.92625,-1.646179777,-0.184057326
Jones,Marvin,WR,82,8000,DET,26,2016,4775.194261,3224.805739,-0.934243296,-0.675324513
Whitehead,Tahir,OLB,83,4000,DET,26,2016,4604.80076,-604.80076,0.194898906,0.131341353
Bademosi,Johnson,CB,74,2250,DET,26,2016,2110.214636,139.7853636,-0.066548803,-0.066242249
Boldin,Anquan,WR,79,2750,DET,36,2016,3772.199588,-1022.199588,0.338316541,0.270982371
Charles,Stefan,DT,68,1750,DET,28,2016,991.39885,758.60115,-0.762044775,-0.7651826
Orlovsky,Dan,QB,66,1065,DET,33,2016,1243.812931,-178.812931,0.184026753,0.143761917
Muhlbach,Don,LS,50,1065,DET,35,2016,956.0058,108.9942,-0.435432847,-0.114009978
Forsett,Justin,RB,82,885,DET,31,2016,2670.665767,-1785.665767,0.961175451,0.668621955
Caldwell,Andre,WR,70,885,DET,31,2016,1102.876639,-217.8766393,0.253367964,0.197553046
Kerley,Jeremy,WR,72,850,DET,28,2016,1269.113875,-419.113875,0.438266386,0.330241347
Schwartz,Geoff,G,81,840,DET,30,2016,4326.66205,-3486.66205,1.146156499,0.805854955
Walls,Darrin,CB,69,840,DET,28,2016,975.3856164,-135.3856164,0.184243748,0.138802146
Roberts,Andre,WR,71,760,DET,28,2016,1201.950422,-441.9504219,0.474710519,0.367694386
Butler,Crezdon,CB,68,760,DET,29,2016,811.6217164,-51.62171642,0.116849173,0.063603173
Starks,James,RB,79,3000,GB,30,2016,1880.035237,1119.964763,-0.700458452,-0.595714772
Perry,Nick,OLB,81,5050,GB,26,2016,3395.985154,1654.014846,-0.626728474,-0.487050082
Cook,Jared,TE,80,2750,GB,29,2016,3081.9328,-331.9328,0.130875693,0.107702803
McCray,Lerentee,OLB,71,800,GB,26,2016,1378.5835,-578.5835,0.524684756,0.419694201
Barclay,Don,RT,65,700,GB,27,2016,579.4151,120.5849,-1.472919233,-0.208114873
