Last Name,First Name,Position,Average Salary,Team
Mesko,Zoltan,P,494313,NE
Brown,Sergio,S,485000,NE
Carter,Tony,CB,480000,NE
Bussey,George,T,475458,NE
Slater,Matthew,WR,470000,NE
Hix,Kyle,T,468000,NE
Tarpinian,Jeff,OLB,468000,NE
Aiken,Danny,LS,465833,NE
Adams,Phillip,CB,462000,NE
Deaderick,Brandon,DT,457575,NE
Pryor,Myron,DT,457250,NE
Edelman,Julian,WR,449675,NE
Thomas,Donald,G,448668,NE
Katula,Matt,C,428236,NE
Fletcher,Dane,ILB,408333,NE
Lockett,Bret,S,405000,NE
Hoyer,Brian,QB,399167,NE
Love,Kyle,DT,365000,NE
Ohrnberger,Rich,C,363333,NE
Ventrone,Ross,S,342500,NE
Johnson,Terrence,CB,500,NE
Revis,Darrelle,CB,11500000,NYJ
Sanchez,Mark,QB,10100000,NYJ
Ferguson,D'Brickashaw,LT,10000000,NYJ
Harris,David,ILB,9000000,NYJ
Holmes,Santonio,WR,9000000,NYJ
Cromartie,Antonio,CB,8000000,NYJ
Scott,Bart,LB,8000000,NYJ
Mangold,Nick,C,7725000,NYJ
Pace,Calvin,OLB,7000000,NYJ
O'Connell,Kevin,QB,5252000,NYJ
Thomas,Bryan,LB,5000000,NYJ
Moore,Brandon,G,4000000,NYJ
Hunter,Wayne,T,3225000,NYJ
Burress,Plaxico,WR,3017000,NYJ
Tomlinson,LaDainian,RB,2600000,NYJ
Smith,Eric,S,2500000,NYJ
Keller,Dustin,TE,2350000,NYJ
Wilson,Kyle,CB,1981000,NYJ
Leonhard,Jim,S,1958333,NYJ
Wilkerson,Muhammad,DE,1718750,NYJ
DeVito,Mike,DE,1646250,NYJ
Pouha,Sione,DT,1450000,NYJ
Turner,Robert,C,1200000,NYJ
Ducasse,Vladimir,G,741250,NYJ
Pool,Brodney,S,735000,NYJ
Greene,Shonn,RB,663750,NYJ
Ellis,Kenrick,DT,655625,NYJ
Turner,Patrick,WR,616075,NYJ
Powell,Bilal,RB,610125,NYJ
McKnight,Joe,RB,572750,NYJ
Kerley,Jeremy,WR,556063,NYJ
Folk,Nick,K,552280,NYJ
McElroy,Greg,QB,526288,NYJ
Maybin,Aaron,OLB,525000,NYJ
Conner,John,FB,497250,NYJ
McIntyre,Garrett,OLB,470000,NYJ
Baker,Josh,TE,467333,NYJ
Bellore,Nick,ILB,467333,NYJ
Boggs,Taylor,G,465000,NYJ
Slauson,Matt,G,462550,NYJ
Kroul,Matt,C,450000,NYJ
Lankster,Ellis,CB,450000,NYJ
LaRocque,Joey,LB,450000,NYJ
Conley,T.J.,P,446667,NYJ
Dixon,Marcus,DE,436667,NYJ
Trufant,Isaiah,CB,420000,NYJ
Alexander,Gerald,S,414501,NYJ
Cumberland,Jeff,TE,405667,NYJ
Mauga,Josh,ILB,405000,NYJ
Purdum,Tanner,LS,405000,NYJ
Payne,Logan,WR,399060,NYJ
Westerman,Jamaal,LB,395667,NYJ
Pitoitua,Ropati,DE,395000,NYJ
Mulligan,Matthew,TE,393333,NYJ
Tevaseu,Martin,DT,386667,NYJ
Posey,Julian,CB,377333,NYJ
Washington,Lorenzo,DT,375000,NYJ
Landolt,Dennis,G,375000,NYJ
Riley,Eron,WR,353824,NYJ
Howard,Austin,G,353472,NYJ
Wilson,Tracy,S,307597,NYJ
Sapp,Ricky,OLB,297353,NYJ
Gilbert,Jarron,DE,274853,NYJ
Ngata,Haloti,DT,12131000,BAL
Suggs,Terrell,OLB,10416667,BAL
Evans,Lee,WR,9312500,BAL
Boldin,Anquan,WR,8333333,BAL
Foxworth,Domonique,CB,6800000,BAL
Yanda,Marshal,G,6400000,BAL
Lewis,Ray,LB,6357143,BAL
Flacco,Joe,QB,5950000,BAL
Reed,Ed,S,5726429,BAL
Kemoeatu,Maake,DT,4600000,BAL
Johnson,Jarret,OLB,4340000,BAL
Birk,Matt,C,4000000,BAL
Leach,Vonta,FB,3666667,BAL
Carr,Chris,CB,3500000,BAL
Gurode,Andre,C,3000000,BAL
Cundiff,Billy,K,2940000,BAL
Oher,Michael,RT,2699000,BAL
McKinnie,Bryant,LT,2500000,BAL
Koch,Sam,P,2500000,BAL
Smith,Jimmy,CB,1865425,BAL
Grubbs,Ben,G,1580000,BAL
McClain,Jameel,ILB,1385000,BAL
Pollard,Bernard,S,1367500,BAL
Williams,Ricky,RB,1300000,BAL
Ayanbadejo,Brendon,LB,1231250,BAL
