Williams,Mario,DE,16000000,BUF
Fitzpatrick,Ryan,QB,9833333,BUF
Williams,Kyle,DT,7287500,BUF
Johnson,Stevie,WR,7250000,BUF
Kelsay,Chris,DE,7050000,BUF
Anderson,Mark,DE,5250000,BUF
Spiller,C.J.,RB,5134417,BUF
Dareus,Marcell,DT,5101825,BUF
Jackson,Fred,RB,4350000,BUF
Jackson,Tarvaris,QB,4000000,BUF
McKelvin,Leodis,CB,3880000,BUF
Barnett,Nick,ILB,3833333,BUF
Smith,Brad,WR,3687500,BUF
Johnson,Spencer,DT,3500000,BUF
Pears,Erik,G,3100000,BUF
Gilmore,Stephon,CB,3021038,BUF
Thigpen,Tyler,QB,3000000,BUF
Wilson,George,S,2950000,BUF
Lindell,Rian,K,2750000,BUF
Chandler,Scott,TE,2725000,BUF
McGee,Terrence,CB,2015000,BUF
Wood,Eric,C,1867000,BUF
Williams,Aaron,S,1314787,BUF
Urbik,Kraig,G,1260000,BUF
Rinehart,Chad,G,1260000,BUF
McIntyre,Corey,FB,1250250,BUF
Morrison,Kirk,LB,1250000,BUF
Glenn,Cordy,LT,1216295,BUF
Troup,Torell,DT,1152500,BUF
Sanborn,Garrison,LS,1071667,BUF
Byrd,Jairus,S,1037500,BUF
Levitre,Andy,G,890000,BUF
Scott,Bryan,OLB,825000,BUF
Graham,T.J.,WR,725313,BUF
Carrington,Alex,DE,701000,BUF
Martin,Ruvell,WR,700000,BUF
Choice,Tashard,RB,700000,BUF
Merriman,Shawne,LB,700000,BUF
Bradham,Nigel,OLB,641065,BUF
Searcy,Da'Norris,S,631106,BUF
Dotson,Lionel,DE,627500,BUF
Brooks,Ron,CB,625135,BUF
Moats,Arthur,OLB,618750,BUF
Hairston,Chris,LT,613977,BUF
Scott,Chris,G,585000,BUF
Welch,Thomas,RT,585000,BUF
Sanders,Zebrie,RT,574625,BUF
Smith,Lee,TE,574571,BUF
Butler,Crezdon,CB,555000,BUF
Heath,T.J.,CB,555000,BUF
White,Chris,ILB,540150,BUF
Potter,John,K,536474,BUF
Easley,Marcus,WR,533333,BUF
Moore,Kyle,DE,532500,BUF
Rogers,Justin,CB,526875,BUF
Snow,David,G,525000,BUF
Young,Sam,RT,512625,BUF
Sheppard,Kelvin,ILB,511842,BUF
Silva,Mana,S,510000,BUF
Powell,Shawn,P,481000,BUF
Howell,Delano,S,481000,BUF
Elliott,Kevin,WR,480000,BUF
Williams,Keith,G,480000,BUF
Caussin,Mike,TE,472500,BUF
Dickerson,Dorin,TE,465000,BUF
Brown,Colin,G,446000,BUF
Hogan,Chris,WR,435000,BUF
Ross,Jay,DT,435000,BUF
Jones,Donald,WR,408333,BUF
Nelson,David,WR,405000,BUF
Long,Jake,LT,11550000,MIA
Dansby,Karlos,ILB,8420000,MIA
Wake,Cameron,DE,6640000,MIA
Soliai,Paul,DT,6000000,MIA
Marshall,Richard,CB,5333333,MIA
Burnett,Kevin,OLB,5250000,MIA
Bush,Reggie,RB,4875000,MIA
Incognito,Richie,G,4300000,MIA
Starks,Randy,DT,4010000,MIA
Fields,Brandon,P,3325029,MIA
Tannehill,Ryan,QB,3167211,MIA
McDaniel,Tony,DT,3000000,MIA
Fasano,Anthony,TE,2925333,MIA
Odrick,Jared,DT,2614388,MIA
Moore,Matt,QB,2512500,MIA
Pouncey,Mike,C,2314924,MIA
Bess,Davone,WR,2257500,MIA
Carpenter,Dan,K,2000000,MIA
Murtha,Lydon,T,1927000,MIA
Hicks,Artis,G,1500000,MIA
Garner,Nate,RT,1325000,MIA
Martin,Jonathan,RT,1196067,MIA
Trusnik,Jason,ILB,1190000,MIA
Misi,Koa,ILB,1166226,MIA
Gaffney,Jabar,WR,925000,MIA
Steinbach,Eric,G,825000,MIA
Thomas,Daniel,RB,809097,MIA
Smith,Sean,CB,779000,MIA
Denney,John,LS,757500,MIA
Vernon,Olivier,DE,712020,MIA
Culver,Tyrone,S,700000,MIA
Egnew,Michael,TE,694114,MIA
Jerry,John,G,662125,MIA
Miller,Lamar,RB,646500,MIA
Hartline,Brian,WR,563744,MIA
Randall,Kheeston,DT,540612,MIA
Mastrud,Jeron,TE,540000,MIA
McCann,Bryan,CB,540000,MIA
Feinga,Ray,G,540000,MIA
Spitler,Austin,ILB,540000,MIA
Stanford,R.J.,CB,540000,MIA
Matthews,Rishard,WR,538403,MIA
Clay,Charles,TE,538000,MIA
Wilson,Jimmy,S,521475,MIA
Mahaffey,Ryan,RB,510000,MIA
Carroll,Nolan,CB,496875,MIA
Jones,Reshad,S,487575,MIA
Shelby,Derrick,DE,483333,MIA
Fuller,Jeff,WR,482500,MIA
Thigpen,Marcus,RB,482500,MIA
McDonald,Andrew,RT,481500,MIA
Gray,Jonas,RB,481333,MIA
Samuda,Josh,C,480000,MIA
Presely,De'Andre,CB,480000,MIA
Miller,Kyle,TE,480000,MIA
Lane,Jorvorskie,FB,480000,MIA
Clemons,Chris,S,478125,MIA
Yeatman,Will,LT,467333,MIA
Freeny,Jonathan,OLB,466333,MIA
Durand,Ryan,G,465000,MIA
Lawrence,Quinten,WR,465000,MIA
McCray,Kelcie,S,458333,MIA
Russell,Anderson,S,435000,MIA
Kaddu,Josh,OLB,435000,MIA
Devlin,Pat,QB,420000,MIA
Burden,Chandler,C,420000,MIA
Binns,Armon,WR,415000,MIA
Amaya,Jonathon,S,408333,MIA
Moore,Marlon,WR,406667,MIA
Edds,A.J.,OLB,238500,MIA
Brady,Tom,QB,15700000,NE
Welker,Wes,WR,9515000,NE
Gronkowski,Rob,TE,9000000,NE
Mankins,Logan,G,8500000,NE
Wilfork,Vince,DT,8000000,NE
Mayo,Jerod,ILB,7121429,NE
Hernandez,Aaron,TE,5654571,NE
Lloyd,Brandon,WR,4000000,NE
Connolly,Dan,G,3250000,NE
Gostkowski,Stephen,K,3151800,NE
Love,Kyle,DT,3090000,NE
Bodden,Leigh,CB,3000000,NE
Talib,Aqib,CB,2800000,NE
Ninkovich,Rob,OLB,2700000,NE
Gregory,Steve,S,2350000,NE
Solder,Nate,LT,2135123,NE
Jones,Chandler,DE,2043138,NE
McCourty,Devin,S,2000000,NE
Banta-Cain,Tully,LB,2000000,NE
Hightower,Dont'a,ILB,1931001,NE
Slater,Matthew,WR,1800000,NE
Fells,Daniel,TE,1666667,NE
Waters,Brian,G,1500000,NE
Barrett,Josh,S,1470000,NE
Dowling,Ras-I,CB,1326025,NE
Branch,Deion,WR,1325000,NE
Chung,Patrick,S,1250000,NE
Shiancoe,Visanthe,TE,1200000,NE
Scott,Trevor,DE,1150000,NE
Brace,Ron,DT,1108750,NE
Wilson,Tavon,S,1052096,NE
Allen,Will,S,1000000,NE
Arrington,Kyle,CB,937500,NE
Cunningham,Jermaine,DE,908750,NE
Koutouvides,Niko,ILB,898120,NE
White,Tracy,LB,890000,NE
Stallworth,Donte,WR,875000,NE
Vereen,Shane,RB,865288,NE
Larsen,Spencer,RB,850000,NE
Woodhead,Danny,RB,837500,NE
Wendell,Ryan,C,830000,NE
