Last Name,First Name,Position,Average Salary,Team
Williams,Mario,DE,16000000,BUF
Williams,Kyle,DT,7287500,BUF
Williams,Aaron,S,6501961,BUF
Wood,Eric,C,6350000,BUF
Orton,Kyle,QB,5500000,BUF
Spiller,C.J.,RB,5134417,BUF
Dareus,Marcell,DT,5101825,BUF
Watkins,Sammy,WR,4983901,BUF
Jackson,Fred,RB,4350000,BUF
McKelvin,Leodis,CB,4250000,BUF
Graham,Corey,S,4075000,BUF
Urbik,Kraig,G,3650000,BUF
Williams,Chris,G,3287500,BUF
Pears,Erik,RT,3100000,BUF
Gilmore,Stephon,CB,3021038,BUF
Spikes,Brandon,ILB,3000000,BUF
Lawson,Manny,OLB,3000000,BUF
Carpenter,Dan,K,2487500,BUF
Chandler,Scott,TE,2375000,BUF
Manuel,E.J.,QB,2221325,BUF
Rivers,Keith,OLB,2025000,BUF
Hughes,Jerry,DE,1950000,BUF
Woods,Robert,WR,1216692,BUF
Glenn,Cordy,LT,1216295,BUF
Kouandjio,Cyrus,RT,1202205,BUF
Dixon,Anthony,RB,1200000,BUF
Sanborn,Garrison,LS,1111667,BUF
Alonso,Kiko,ILB,1075100,BUF
Wynn,Jarius,DE,795000,BUF
Brown,Preston,ILB,751438,BUF
Sylvester,Stevenson,ILB,730000,BUF
Goodwin,Marquise,WR,713469,BUF
Cockrell,Ross,CB,671888,BUF
Williams,Duke,S,657563,BUF
Dean,Larry,OLB,645000,BUF
Bradham,Nigel,OLB,641106,BUF
Searcy,Da'Norris,S,631106,BUF
Brooks,Ron,CB,625135,BUF
Hairston,Chris,LT,613977,BUF
Richardson,Cyril,G,603000,BUF
Meeks,Jonathan,S,589500,BUF
Smith,Lee,TE,574571,BUF
Johnson,Randell,OLB,570933,BUF
Henderson,Seantrel,RT,567720,BUF
Gragg,Chris,TE,554794,BUF
Rambo,Bacarri,S,540000,BUF
Butler,Mario,CB,540000,BUF
Brown,Bryce,RB,537720,BUF
Easley,Marcus,WR,533333,BUF
Ladler,Kenny,S,512500,BUF
Robey,Nickell,CB,497500,BUF
Gray,MarQueis,TE,496333,BUF
Hogan,Chris,WR,495000,BUF
Charles,Stefan,DT,495000,BUF
Powell,Ty,ILB,495000,BUF
Thigpen,Marcus,WR,482500,BUF
Thompson,Deonte,WR,481333,BUF
Schmidt,Colton,P,465000,BUF
Bryant,Corbin,DT,450000,BUF
Gay,Jordan,K,420000,BUF
Wallace,Mike,WR,12000000,MIA
Albert,Branden,LT,9400000,MIA
Grimes,Brent,CB,8000000,MIA
Jones,Reshad,S,7003000,MIA
Ellerbe,Dannell,OLB,7000000,MIA
Wake,Cameron,DE,6640000,MIA
Hartline,Brian,WR,6155000,MIA
Finnegan,Cortland,CB,5500000,MIA
Wheeler,Philip,OLB,5200000,MIA
Jordan,Dion,DE,5143077,MIA
Starks,Randy,DE,5000000,MIA
Misi,Koa,OLB,4250000,MIA
Mitchell,Earl,DT,4000000,MIA
Moore,Matt,QB,4000000,MIA
Fields,Brandon,P,3325029,MIA
Gibson,Brandon,WR,3260000,MIA
Tannehill,Ryan,QB,3167211,MIA
