Last Name,First Name,Average Salary,Team,Position,Age
Smith,Brad,3750000,BUF,WR,32
Florence,Drayton,5000000,BUF,CB,35
Thigpen,Tyler,3000000,BUF,QB,32
Burnett,Kevin,5250000,MIA,OLB,33
Trusnik,Jason,1000000,MIA,ILB,32
Light,Matt,6200000,NE,T,38
Ellis,Shaun,4000000,NE,DE,39
Carter,Andre,2250000,NE,DE,37
Anderson,Mark,1375000,NE,DE,33
Faulk,Kevin,910000,NE,RB,40
Holmes,Santonio,9000000,NYJ,WR,32
Cromartie,Antonio,8000000,NYJ,CB,32
Hunter,Wayne,3250000,NYJ,T,35
Smith,Eric,2500000,NYJ,S,33
Folk,Nick,552280,NYJ,K,31
Yanda,Marshal,6400000,BAL,G,31
Carr,Chris,3800000,BAL,CB,33
Leach,Vonta,3666667,BAL,FB,34
Williams,Ricky,1300000,BAL,RB,39
Howard,Thomas,3250000,CIN,LB,33
Benson,Cedric,4500000,CIN,RB,33
Gradkowski,Bruce,2000000,CIN,QB,33
Leonard,Brian,1000000,CIN,RB,32
Jackson,Brandon,2250000,CLE,RB,30
Taylor,Ike,7000000,PIT,CB,36
Scott,Jonathan,1300000,PIT,LT,33
Essex,Trai,810000,PIT,T,33
Moore,Mewelde,575000,PIT,RB,34
Joseph,Johnathan,9750000,HOU,CB,32
Manning,Danieal,5000000,HOU,S,34
Jones,Jacoby,3500000,HOU,WR,32
Leinart,Matt,2750000,HOU,QB,33
Ball,Alan,1200000,HOU,CB,31
Manning,Peyton,18000000,IND,QB,40
Vinatieri,Adam,3466667,IND,K,43
Johnson,Antonio,2000000,IND,DT,31
Posluszny,Paul,7000000,JAC,ILB,31
Session,Clint,6000000,JAC,LB,31
Spitz,Jason,2250000,JAC,G,33
Harris,Leroy,3100000,TEN,C,32
Ruud,Barrett,4000000,TEN,LB,33
Ford,Jacob,1300000,TEN,DE,33
Ball,Dave,1300000,TEN,DE,32
Shaw,Tim,1200000,TEN,OLB,32
Hall,Ahmard,1050000,TEN,FB,36
Thomas,Marcus,1000000,DEN,DT,30
Breaston,Steve,4510000,KC,WR,33
Wiegmann,Casey,2500000,KC,C,43
Copper,Terrance,825000,KC,WR,34
McGraw,Jon,810000,KC,S,37
Clary,Jeromey,5000000,SD,G,32
Spikes,Takeo,3000000,SD,LB,39
Floyd,Malcom,2500000,SD,WR,35
Hughes,Dante,1000000,SD,CB,31
Mruczkowski,Scott,985000,SD,G,34
McMichael,Randy,910000,SD,TE,37
Cooper,Stephen,810000,SD,LB,37
Spears,Marcus,3050000,DAL,DE,33
Kosier,Kyle,2166667,DAL,G,37
Hatcher,Jason,2000000,DAL,DE,34
Elam,Abram,2500000,DAL,S,34
Baas,David,5500000,NYG,C,34
Bradshaw,Ahmad,4500000,NYG,RB,30
Boothe,Kevin,1250000,NYG,G,33
Grant,Deon,910000,NYG,S,37
Carr,David,860000,NYG,QB,37
Blackburn,Chase,685000,NYG,OLB,33
Asomugha,Nnamdi,12000000,PHI,CB,35
Jenkins,Cullen,6075000,PHI,DE,35
Babin,Jason,5600000,PHI,DE,36
Brown,Ronnie,1000000,PHI,RB,34
Landry,Dawan,5500000,WAS,S,33
Doughty,Reed,1375000,WAS,S,33
Grossman,Rex,1150000,WAS,QB,36
Buchanon,Phillip,910000,WAS,CB,35
Golston,Kedric,735000,WAS,DT,33
Podlesh,Adam,2000000,CHI,P,33
Spencer,Chris,3000000,CHI,G,34
Spaeth,Matt,1991667,CHI,TE,32
Hurd,Sam,1383333,CHI,WR,31
Houston,Chris,3000000,DET,CB,31
Durant,Justin,2750000,DET,ILB,30
Gandy,Dylan,1642500,DET,G,34
Wendling,John,913333,DET,S,33
Davis,Rashied,685000,DET,WR,37
Stanton,Drew,650000,DET,QB,32
Crosby,Mason,2950000,GB,K,32
Jones,James,3133333,GB,WR,32
Kuhn,John,2500000,GB,FB,34
Longwell,Ryan,3000000,MIN,K,42
Aromashodu,Devin,685000,MIN,WR,32
Edwards,Ray,5500000,ATL,DE,31
Nicholas,Stephen,3500000,ATL,OLB,33
Bryant,Matt,2675000,ATL,K,41
Johnson,Charles,12666667,CAR,DE,30
Williams,DeAngelo,8600000,CAR,RB,33
Anderson,James,4400000,CAR,OLB,32
Sproles,Darren,3500000,NO,RB,33
Bushrod,Jermon,4750000,NO,G,32
Shanle,Scott,2000000,NO,LB,36
Joseph,Davin,7571429,TB,G,32
Black,Quincy,5800000,TB,LB,32
Koenen,Michael,3250000,TB,P,34
Trueblood,Jeremy,5000000,TB,RT,33
Hayward,Adam,1154423,TB,OLB,32
Colledge,Daryn,5500000,ARI,G,34
Bradley,Stewart,5000000,ARI,ILB,32
Sendlein,Lyle,3250000,ARI,C,32
King,Jeff,1850000,ARI,TE,33
Eason,Nick,975000,ARI,DE,36
Adams,Michael,855000,ARI,S,31
Womack,Floyd,1700000,ARI,G,37
Taylor,Chester,810000,ARI,RB,36
Ware,Matt,810000,ARI,CB,33
Claxton,Ben,700000,ARI,C,36
Abdullah,Hamza,685000,ARI,CB,33
Rice,Sidney,8200000,SEA,WR,30
Miller,Zach,6800000,SEA,TE,30
Mebane,Brandon,5000000,SEA,DT,31
Branch,Alan,4000000,SEA,DT,31
Wilkerson,Jimmy,1500000,SEA,DE,35
Bigby,Atari,685000,SEA,S,34
McDonald,Ray,4020000,SF,DT,32
Goodwin,Jonathan,3633333,SF,C,37
Akers,David,3000000,SF,K,41
Smith,Alex,5000000,SF,QB,32
Applewhite,Antwan,600000,SF,DE,30
