Gafford,Thomas,715000,KC,LS
Schwartz,Geoff,700000,KC,G
Zombo,Frank,640000,KC,OLB
Roach,Nick,3250000,OAK,ILB
Maiava,Kaluka,2000000,OAK,ILB
Burnett,Kevin,2625000,OAK,OLB
Walker,Vance,2000000,OAK,DE
Sims,Pat,1750000,OAK,DT
Jenkins,Mike,1500000,OAK,CB
Porter,Tracy,1500000,OAK,CB
Carmona,Eddie,495000,OAK,K
Carter,Andre,1000000,OAK,DE
Hanson,Joselio,1000000,OAK,CB
Hunter,Jason,1000000,OAK,DE
Young,Usama,985000,OAK,S
Barnes,Khalif,840000,OAK,LT
Adams,Phillip,775000,OAK,CB
Gaither,Omar,715000,OAK,ILB
Mastrud,Jeron,630000,OAK,TE
Jennings,Rashad,630000,OAK,RB
Parsons,Alex,480000,OAK,C
Cox,Derek,5000000,SD,CB
Freeney,Dwight,4375000,SD,OLB
Phillips,John,1758333,SD,TE
Dunlap,King,1850000,SD,LT
Woodhead,Danny,1750000,SD,RB
Rinehart,Chad,1250000,SD,G
Brown,Ronnie,1050000,SD,RB
Marshall,Richard,855000,SD,CB
Ohrnberger,Rich,675000,SD,C
Gronkowski,Chris,630000,SD,RB
Keiser,Thomas,555000,SD,OLB
Durant,Justin,1200000,DAL,ILB
Selvie,George,680000,DAL,DE
Sims,Ernie,840000,DAL,OLB
Rosario,Dante,780000,DAL,TE
Frampton,Eric,715000,DAL,S
Armstrong,Anthony,630000,DAL,WR
Kitna,Jon,55294,DAL,QB
Myers,Brandon,2250000,NYG,TE
Carr,David,1050000,NYG,QB
Brown,Josh,1050000,NYG,K
Patterson,Mike,905000,NYG,DT
Boothe,Kevin,905000,NYG,G
Jacobs,Brandon,840000,NYG,RB
Rivers,Keith,800000,NYG,OLB
Connor,Dan,780000,NYG,ILB
Ross,Aaron,780000,NYG,CB
Torain,Ryan,715000,NYG,RB
Barwin,Connor,6000000,PHI,OLB
Williams,Cary,5666667,PHI,CB
Casey,James,4000000,PHI,FB
Sopoaga,Isaac,3666667,PHI,DT
Fletcher,Bradley,2625000,PHI,CB
Phillips,Jason,730000,PHI,ILB
