Stephen Paea,5250000,WAS,DE
Terrance Knighton,4450000,WAS,DT
Colt McCoy,1500000,WAS,QB
Michael Hill,550000,WAS,RB
Will Blackmon,870000,WAS,CB
Junior Galette,745000,WAS,OLB
Jerrell Powe,745000,WAS,DT
Justin Rogers,745000,WAS,CB
Pernell McPhee,7750000,CHI,OLB
Eddie Royal,5000000,CHI,WR
Sherrick McManis,8250000,CHI,CB
Alan Ball,3000000,CHI,CB
Will Montgomery,950000,CHI,C
Thomas Gafford,950000,CHI,LS
Tracy Porter,870000,CHI,CB
Dante Rosario,870000,CHI,TE
Sam Acho,825000,CHI,OLB
Vladimir Ducasse,825000,CHI,G
Jacquizz Rodgers,785000,CHI,RB
Robert Housler,745000,CHI,TE
LaRoy Reynolds,585000,CHI,ILB
Pat Devlin,585000,CHI,QB
Bear Pascoe,585000,CHI,TE
Rashean Mathis,1750000,DET,CB
C.J. Wilson,1675000,DET,DE
Tyrunn Walker,1750000,DET,DT
Lance Moore,1050000,DET,WR
Josh Wilson,950000,DET,CB
Corey Wootton,825000,DET,DT
Christopher Owens,745000,DET,CB
Letroy Guion,2750000,GB,DE
B.J. Raji,1750000,GB,DT
John Kuhn,920000,GB,FB
Shaun Hill,3250000,MIN,QB
Terence Newman,2250000,MIN,CB
Joe Berger,1077500,MIN,C
Kevin McDermott,630000,MIN,LS
Casey Matthews,825000,MIN,ILB
Johsua Thomas,745000,MIN,CB
Brooks Reed,4400000,ATL,OLB
Justin Durant,3600000,ATL,ILB
Michael Person,1216667,ATL,C
Jacob Tamme,1600000,ATL,TE
Adrian Clayborn,3000000,ATL,DE
Chris Chester,2800000,ATL,G
Kroy Biermann,1925000,ATL,OLB
O'Brien Schofield,1700000,ATL,OLB
Leonard Hankerson,1000000,ATL,WR
Shayne Graham,970000,ATL,K
Travis Howard,480000,ATL,CB
Tony Moeaki,745000,ATL,TE
Phillip Adams,745000,ATL,CB
Charles Tillman,2000000,CAR,CB
Teddy Williams,900000,CAR,CB
Fernando Velasco,745000,CAR,G
Jarrett Boykin,700000,CAR,WR
C.J. Spiller,4000000,NO,RB
Brandon Browner,5000000,NO,CB
Ramon Humber,1042500,NO,OLB
Kevin Williams,1500000,NO,DT
Anthony Spencer,950000,NO,OLB
Alex Smith,870000,NO,TE
Kyle Wilson,825000,NO,CB
Bryce Harris,720000,NO,RT
Kevin Brock,585000,NO,TE
Bruce Carter,4250000,TB,ILB
Gosder Cherilus,3500000,TB,RT
Henry Melton,3750000,TB,DT
Joe Hawley,1664063,TB,C
Sterling Moore,1525000,TB,CB
Tony McDaniel,1500000,TB,DT
Leonard Johnson,1000000,TB,CB
Da'Quan Bowers,745000,TB,DT
Jorvorskie Lane,585000,TB,FB
Cary Williams,6000000,SEA,CB
Clint Gresham,901667,SEA,LS
Ahtyba Rubin,2600000,SEA,DT
Tarvaris Jackson,1500000,SEA,QB
Fred Jackson,900000,SEA,RB
Demarcus Dobbs,825000,SEA,DE
Will Tukuafu,820000,SEA,FB
Chase Coffman,745000,SEA,TE
Torrey Smith,8000000,SF,WR
Erik Pears,2850000,SF,RT
Reggie Bush,2500000,SF,RB
Nick Bellore,845000,SF,ILB
Chris Cook,1350000,SF,CB
Pierre Thomas,870000,SF,RB
Desmond Bishop,870000,SF,OLB
