Last Name,First Name,Average Salary,Team,Position,Age
Square,Damion,725000,SD,DE,27
Thornton,Cedric,4250000,DAL,DE,28
Hanna,James,2750000,DAL,TE,27
Morris,Alfred,1750000,DAL,RB,28
Wilber,Kyle,1625000,DAL,OLB,27
Claiborne,Morris,3000000,DAL,CB,26
Sanchez,Mark,2000000,DAL,QB,30
Looney,Joe,837500,DAL,G,26
Dunbar,Lance,1250000,DAL,RB,26
Crawford,Jack,1100000,DAL,DE,28
Durant,Justin,965000,DAL,ILB,31
Brown,Charles,760000,DAL,LT,29
Thomas,Johsua,760000,DAL,CB,27
Vernon,Olivier,17000000,NYG,DE,26
Jenkins,Janoris,12500000,NYG,CB,28
Harrison,Damon,9250000,NYG,DT,28
Brown,Josh,2000000,NYG,K,37
Robinson,Keenan,2600000,NYG,ILB,27
Johnson,Will,1150000,NYG,FB,28
Hall,Leon,1500000,NYG,CB,32
Daniels,B.J.,645000,NYG,WR,27
Beatty,William,1100000,NYG,LT,31
Johnson,Josh,885000,NYG,QB,30
Sheppard,Kelvin,840000,NYG,ILB,28
Rainey,Bobby,840000,NYG,RB,29
Stingily,Byron,780000,NYG,RT,28
Cudjo,Jermelle,760000,NYG,DT,30
Brooks,Brandon,8000000,PHI,G,27
Daniel,Chase,7000000,PHI,QB,30
Bradham,Nigel,3500000,PHI,OLB,27
Brooks,Ron,1833333,PHI,CB,28
Tulloch,Stephen,2500000,PHI,ILB,31
Carroll,Nolan,2360000,PHI,CB,29
Wisniewski,Stefen,1510000,PHI,C,27
Randle,Rueben,1025000,PHI,WR,25
Givens,Chris,840000,PHI,WR,27
Quigley,Ryan,675000,PHI,P,26
Norman,Josh,15000000,WAS,CB,29
Davis,Vernon,2400000,WAS,TE,32
Blackmon,Will,1025000,WAS,CB,32
Galette,Junior,1600000,WAS,OLB,28
Jenkins,Cullen,985000,WAS,DE,35
LeRibeus,Josh,920000,WAS,C,27
Toler,Greg,840000,WAS,CB,31
Garvin,Terence,750000,WAS,ILB,25
Trevathan,Danny,6125000,CHI,ILB,26
Sitton,Josh,7000000,CHI,G,30
Massie,Bobby,6000000,CHI,RT,27
Freeman,Jerrell,4000000,CHI,ILB,30
Porter,Tracy,4000000,CHI,CB,30
Hicks,Akiem,5000000,CHI,DE,27
Miller,Zach,2750000,CHI,TE,32
McManis,Sherrick,1425000,CHI,CB,29
Unrein,Mitch,1130000,CHI,DT,29
Hoyer,Brian,2000000,CHI,QB,31
Larsen,Ted,1650000,CHI,G,29
Ramirez,Manuel,965000,CHI,G,33
Acho,Sam,840000,CHI,OLB,28
Thompson,Deonte,840000,CHI,WR,27
Paulsen,Logan,760000,CHI,TE,29
Smith,Shelley,760000,CHI,G,29
Adams,Mike,760000,CHI,LT,26
Young,Darrel,760000,CHI,FB,29
Boykin,Brandon,760000,CHI,CB,26
Moeaki,Tony,760000,CHI,TE,29
Housler,Robert,760000,CHI,TE,28
Holmes,Khaled,675000,CHI,C,26
Chandler,Nate,675000,CHI,LT,27
Becton,Nick,675000,CHI,LT,26
Jones,Marvin,8000000,DET,WR,26
Whitehead,Tahir,4000000,DET,OLB,26
Bademosi,Johnson,2250000,DET,CB,26
Boldin,Anquan,2750000,DET,WR,36
Charles,Stefan,1750000,DET,DT,28
Orlovsky,Dan,1065000,DET,QB,33
Muhlbach,Don,1065000,DET,LS,35
Forsett,Justin,885000,DET,RB,31
Caldwell,Andre,885000,DET,WR,31
Kerley,Jeremy,850000,DET,WR,28
Schwartz,Geoff,840000,DET,G,30
Walls,Darrin,840000,DET,CB,28
Wright,Tim,815000,DET,TE,26
Jeanpierre,Lemuel,760000,DET,C,29
Quarless,Andrew,760000,DET,TE,28
Roberts,Andre,760000,DET,WR,28
Butler,Crezdon,760000,DET,CB,29
Starks,James,3000000,GB,RB,30
Perry,Nick,5050000,GB,OLB,26
Cook,Jared,2750000,GB,TE,29
McCray,Lerentee,800000,GB,OLB,26
Barclay,Don,700000,GB,RT,27
Boone,Alex,6700000,MIN,G,29
Lamur,Emmanuel,2750000,MIN,OLB,27
Sherels,Marcus,2000000,MIN,CB,29
Smith,Andre,3500000,MIN,RT,29
Greenway,Chad,2750000,MIN,OLB,33
Newman,Terence,2500000,MIN,CB,38
Harris,Mike,2000000,MIN,G,28
Ellison,Rhett,1750000,MIN,TE,28
Asiata,Matt,840000,MIN,RB,29
Trattou,Justin,810000,MIN,DE,28
Lewis,Travis,810000,MIN,ILB,28
Hillman,Ronnie,760000,MIN,RB,25
Mack,Alex,9000000,ATL,C,31
Sanu,Mohamed,6500000,ATL,WR,27
Shelby,Derrick,4500000,ATL,DE,27
Clayborn,Adrian,4250000,ATL,DE,28
Schaub,Matt,2750000,ATL,QB,35
Chester,Chris,2350000,ATL,G,33
Weatherspoon,Sean,1500000,ATL,ILB,28
Upshaw,Courtney,1250000,ATL,OLB,27
Freeney,Dwight,1000000,ATL,OLB,36
Graham,Shayne,985000,ATL,K,39
Wheeler,Philip,965000,ATL,OLB,32
Harris,Bryce,820000,ATL,RT,27
Compton,Tom,785000,ATL,G,27
Reynolds,LaRoy,675000,ATL,ILB,26
Soliai,Paul,3500000,CAR,DT,32
Gradkowski,Gino,1050000,CAR,C,28
Scifres,Mike,985000,CAR,P,36
Love,Kyle,840000,CAR,DT,30
Johnson,Leonard,760000,CAR,CB,26
Fleener,Coby,7200000,NO,TE,28
Laurinaitis,James,2750000,NO,ILB,30
Robertson,Craig,1666667,NO,ILB,28
Stupar,Nathan,1666667,NO,OLB,28
Kruger,Paul,3000000,NO,OLB,30
Fairley,Nick,3000000,NO,DT,28
McCown,Luke,1500000,NO,QB,35
Finnegan,Cortland,1035000,NO,CB,32
Evans,Jahri,1000000,NO,G,33
Barnes,Khalif,985000,NO,LT,34
Kuhn,John,985000,NO,FB,34
Tapp,Darryl,985000,NO,DE,32
Nicks,Hakeem,885000,NO,WR,28
Barth,Connor,885000,NO,K,30
Hightower,Tim,840000,NO,RB,30
Cadet,Travaris,840000,NO,RB,27
Forbath,Kai,840000,NO,K,29
Sweezy,J.R.,6500000,TB,G,27
Ayers,Robert,6500000,TB,DE,31
Grimes,Brent,6750000,TB,CB,33
Smith,Daryl,2500000,TB,ILB,34
Robinson,Josh,2000000,TB,CB,25
Anger,Bryan,1750000,TB,P,28
Shorts,Cecil,1050000,TB,WR,29
Mathis,Evan,4006900,ARI,G,35
Gresham,Jermaine,3500000,ARI,TE,28
Johnson,Chris,1500000,ARI,RB,31
Bryant,Red,965000,ARI,DE,32
Ball,Alan,885000,ARI,CB,31
Jenkins,Mike,885000,ARI,CB,31
Sensabaugh,Coty,4666667,LA,CB,28
Sims,Eugene,3333333,LA,DE,30
Coples,Quinton,3250000,LA,OLB,26
Harkey,Cory,1900000,LA,FB,26
Barnes,Tim,2750000,LA,C,28
Quick,Brian,1750000,LA,WR,27
Thomas,Cam,760000,LA,DE,30
Folkerts,Brian,675000,LA,C,26
Easley,Dominique,600000,LA,DT,24
Lane,Jeremy,5750000,SEA,CB,26
Kearse,Jermaine,4500000,SEA,WR,26
Ryan,Jon,2500000,SEA,P,35
Webb,J'Marcus,2875000,SEA,RT,28
Clemons,Chris,1500000,SEA,DE,35
Siliga,Sealver,1050000,SEA,DT,27
Morgan,Michael,1000000,SEA,OLB,28
Sowell,Bradley,1000000,SEA,LT,27
McDaniel,Tony,985000,SEA,DT,31
Tukuafu,Will,760000,SEA,FB,32
Browner,Brandon,760000,SEA,CB,32
Michael,Christine,725000,SEA,RB,26
Thorpe,Neiko,675000,SEA,CB,26
Williams,Brandon,675000,SEA,TE,29
Beadles,Zane,3250000,SF,G,30
Dawson,Phil,3134000,SF,K,41
Martin,Keshawn,1087500,SF,WR,26
Jerod-Eddie,Tony,1000000,SF,DE,26
Lewis,Thaddeus,760000,SF,QB,29
